location_id,year,avg_capacity_manual
1,2016,168.0
1,2020,120.66666666666667
1,2021,105.11428571428571
2,2016,94.0
2,2020,94.0
2,2021,94.0
3,2016,68.0
3,2020,68.0
4,2016,29.0
4,2019,29.0
4,2020,18.5
4,2021,20.0625
4,2022,29.0
5,2016,158.0
5,2019,158.0
5,2020,75.95348837209302
5,2021,91.87234042553192
5,2022,158.0
6,2016,42.0
6,2019,42.0
6,2020,27.333333333333332
6,2021,28.962962962962962
7,2016,27.0
7,2019,27.0
7,2020,22.454545454545453
7,2021,22.5
8,2016,86.0
8,2019,86.0
8,2020,54.833333333333336
8,2021,59.55555555555556
8,2022,86.0
9,2016,27.0
9,2019,27.0
9,2020,20.636363636363637
9,2021,20.608695652173914
10,2016,29.0
10,2019,29.0
10,2020,24.333333333333332
10,2021,23.5625
11,2016,27.0
11,2019,27.0
11,2020,18.0
11,2021,19.24137931034483
12,2016,33.0
12,2019,33.0
12,2020,20.555555555555557
12,2021,19.583333333333332
13,2016,35.0
13,2019,35.0
13,2020,20.0
13,2021,18.285714285714285
14,2016,22.0
14,2019,22.0
14,2020,11.5
14,2021,10.521739130434783
15,2016,101.0
15,2019,101.0
15,2020,56.473684210526315
15,2021,61.421052631578945
16,2016,31.0
16,2019,31.0
16,2020,25.75
16,2021,24.875
17,2016,52.0
18,2016,58.0
19,2016,73.0
20,2016,101.0
